Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
31-03-2016,AXISBANK,EQ,444.25,443.7,449,438.2,445.5,444.15,443.86,12671936,5.6246E+14,249206,8049354,0.6352
01-04-2016,AXISBANK,EQ,444.15,440.9,452,440.05,449.6,449.9,447.47,8827751,3.95018E+14,113540,4637271,0.5253
04-04-2016,AXISBANK,EQ,449.9,451.5,451.55,442.1,445.2,444.75,445.86,5347581,2.3843E+14,71535,2743497,0.513
05-04-2016,AXISBANK,EQ,444.75,443.4,449.5,431,431.3,432.6,439.7,12100258,5.32049E+14,150725,5251685,0.434
06-04-2016,AXISBANK,EQ,432.6,433.3,436.3,423.1,427,424.65,427.39,7457831,3.1874E+14,80896,3650425,0.4895
07-04-2016,AXISBANK,EQ,424.65,427.75,431.8,424.9,426.05,426.65,428.79,5374072,2.30436E+14,64994,1506868,0.2804
08-04-2016,AXISBANK,EQ,426.65,426.7,427.35,420.05,422.65,421.6,422.08,6881318,2.9045E+14,80979,3729276,0.5419
11-04-2016,AXISBANK,EQ,421.6,423.9,431.9,417.5,430.1,429.8,425.2,6221772,2.64548E+14,60533,2354963,0.3785
12-04-2016,AXISBANK,EQ,429.8,430.5,436.45,429.4,434.6,434.05,433.45,5586212,2.42137E+14,105533,2688950,0.4814
13-04-2016,AXISBANK,EQ,434.05,440.05,445.3,438.1,439.5,440.5,442.07,9091282,4.01902E+14,135865,5804516,0.6385
18-04-2016,AXISBANK,EQ,440.5,444.95,446.05,437.4,445.3,445.25,442.52,6674315,2.9535E+14,111840,3608266,0.5406
20-04-2016,AXISBANK,EQ,445.25,446.1,460.65,444.35,458.85,459.1,454.72,10775664,4.89987E+14,149210,5587373,0.5185
21-04-2016,AXISBANK,EQ,459.1,463.8,472.75,463,465.85,467.95,469.02,11717618,5.49582E+14,179716,6532726,0.5575
22-04-2016,AXISBANK,EQ,467.95,465.6,478.5,462.1,474.8,475.85,471.33,7323373,3.45176E+14,91742,3211904,0.4386
25-04-2016,AXISBANK,EQ,475.85,474,477.35,465,472.2,469.9,469.36,7474910,3.50846E+14,104801,3728847,0.4988
26-04-2016,AXISBANK,EQ,469.9,470.1,484.9,463.65,477.8,480.2,473.62,12685893,6.00828E+14,160470,3994971,0.3149
27-04-2016,AXISBANK,EQ,480.2,461.3,473.5,458.05,464.25,465.5,467.41,29544825,1.38097E+15,327390,17910097,0.6062
28-04-2016,AXISBANK,EQ,465.5,463,471.85,461.55,466.15,468.05,466.92,16457436,7.68431E+14,269454,9761052,0.5931
29-04-2016,AXISBANK,EQ,468.05,466.75,477.45,465.05,471,472.4,472.11,10883473,5.13823E+14,215020,5413295,0.4974
